SUBJ,CSF,GM,WM
subject-10,0.9594208844,0.9307472087,0.891579691
subject-1,0.9461978481,0.923385088,0.9124278665
subject-2,0.9516659709,0.9228691974,0.9001940176
subject-3,0.9481082439,0.921184466,0.9104538977
subject-4,0.9657627912,0.9187164652,0.9126224475
subject-5,0.9478606737,0.9213145712,0.911267243
subject-6,0.9502266561,0.9251840514,0.9129330114
subject-7,0.942341167,0.9186119822,0.9098779444
subject-8,0.9592746456,0.9284568513,0.9133583032
subject-9,0.9466912005,0.9163338808,0.9151204951
